CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct
718121658,Attrited Customer,56,M,1,College,Married,$60K - $80K,44,1704,0,660,17
711593808,Attrited Customer,55,M,1,High School,Married,$60K - $80K,46,1438.3,0,888,18
718731183,Attrited Customer,61,M,1,Unknown,Married,$40K - $60K,49,5472,788,705,14
713865333,Attrited Customer,45,F,4,Uneducated,Married,Less than $40K,38,4908,0,827,21
797707008,Attrited Customer,44,F,3,Doctorate,Married,Less than $40K,38,7222,0,920,18
720370533,Attrited Customer,55,M,3,Uneducated,Married,$60K - $80K,44,2323,0,804,15
718675158,Attrited Customer,55,F,1,Unknown,Married,Less than $40K,36,1438.3,361,850,22
720605808,Attrited Customer,53,F,1,Graduate,Single,Less than $40K,36,1438.3,0,799,17
770724558,Attrited Customer,42,M,2,College,Married,$60K - $80K,28,7340,0,838,24
719309958,Attrited Customer,55,M,3,Doctorate,Single,$80K - $120K,35,20865,0,837,25
808897683,Attrited Customer,53,M,1,Graduate,Single,$80K - $120K,48,30271,1406,3231,47
718939083,Attrited Customer,54,F,2,Graduate,Married,Less than $40K,45,1438.3,306,694,15
712979133,Attrited Customer,55,M,4,High School,Married,$80K - $120K,41,27560,900,646,10
720071583,Attrited Customer,48,F,2,Unknown,Married,Less than $40K,36,7151,800,854,22
812420358,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,56,2122,554,949,17
798792408,Attrited Customer,48,M,3,High School,Married,$80K - $120K,42,9959,0,805,24
711204483,Attrited Customer,56,M,4,High School,Married,$60K - $80K,46,2340,1930,781,15
713945883,Attrited Customer,62,F,2,Graduate,Married,Less than $40K,52,2490,513,864,20
789513858,Attrited Customer,43,M,3,Unknown,Married,$40K - $60K,35,1438.3,0,891,28
771963708,Attrited Customer,56,M,3,Unknown,Married,$60K - $80K,45,12248,0,767,25
712433508,Attrited Customer,59,F,1,Unknown,Married,Unknown,50,1438.3,0,724,16
778506633,Attrited Customer,43,F,4,College,Married,Less than $40K,23,7706,392,965,27
713530833,Attrited Customer,58,M,2,Graduate,Married,$40K - $60K,48,4085,2238,596,15
778699908,Attrited Customer,43,M,2,Uneducated,Married,$60K - $80K,24,14447,0,915,29
716991933,Attrited Customer,53,F,3,Uneducated,Single,Less than $40K,35,9786,0,820,25
802002858,Attrited Customer,62,F,1,High School,Married,Unknown,56,8990,0,747,19
712373208,Attrited Customer,43,M,3,Doctorate,Single,$60K - $80K,35,3312,0,647,19
708455883,Attrited Customer,57,M,1,Graduate,Single,$80K - $120K,36,10244,861,1127,29
763895958,Attrited Customer,53,M,2,High School,Married,$120K +,46,7474,0,732,21
711927108,Attrited Customer,54,M,3,High School,Married,$80K - $120K,36,9457,350,1196,28
711147483,Attrited Customer,46,F,3,Graduate,Single,Less than $40K,28,8551,1067,1097,32
720990183,Attrited Customer,54,M,5,High School,Married,$60K - $80K,36,14539,0,965,26
716608608,Attrited Customer,41,M,2,Uneducated,Married,$80K - $120K,33,8004,1452,1084,32
788673708,Attrited Customer,57,F,2,High School,Married,$40K - $60K,45,1438.3,0,1254,35
816600933,Attrited Customer,56,M,0,College,Married,$80K - $120K,51,14501,0,1031,25
714208533,Attrited Customer,43,M,3,High School,Married,$60K - $80K,36,8663,288,916,33
720426708,Attrited Customer,56,M,3,High School,Single,$60K - $80K,45,8512,0,811,27
708983658,Attrited Customer,51,M,2,Uneducated,Single,$120K +,39,16868,0,940,25
778663458,Attrited Customer,65,M,1,High School,Married,Less than $40K,47,1759,0,821,18
716024808,Attrited Customer,57,M,1,Graduate,Married,$80K - $120K,36,4829,2418,938,21
721249158,Attrited Customer,42,M,2,Uneducated,Single,$60K - $80K,30,6414,0,708,14
713845083,Attrited Customer,41,F,4,High School,Single,Less than $40K,36,4203,2517,1489,43
813499458,Attrited Customer,45,M,5,High School,Unknown,$60K - $80K,40,1438.3,0,2132,31
712240083,Attrited Customer,38,F,3,Unknown,Single,Less than $40K,30,3730,2517,858,22
772532208,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,41,6630,916,842,24
778929783,Attrited Customer,40,M,3,Graduate,Divorced,$80K - $120K,22,1925,0,781,28
713053383,Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,36,34516,781,853,12
803595858,Attrited Customer,56,F,3,High School,Married,$40K - $60K,51,1438.3,0,594,14
710754933,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,49,1438.3,0,840,20
720007383,Attrited Customer,41,F,2,Unknown,Single,Unknown,28,4411,2517,803,15
718362783,Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,27,12643,0,787,21
708856983,Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,27,13873,0,694,18
709961958,Attrited Customer,58,F,4,High School,Divorced,Unknown,45,21065,2517,1060,32
717412608,Attrited Customer,38,F,2,High School,Married,$40K - $60K,28,7225,0,738,16
712120608,Attrited Customer,35,M,3,College,Married,$80K - $120K,27,3575,1884,861,15
710899833,Attrited Customer,36,M,2,Graduate,Married,$40K - $60K,18,7758,1408,569,23
739594758,Attrited Customer,51,F,2,Graduate,Single,Less than $40K,44,3181,2517,818,16
714078558,Attrited Customer,62,F,1,High School,Married,$40K - $60K,53,5249,0,1315,31
779216358,Attrited Customer,48,M,2,College,Married,$80K - $120K,38,2111,0,773,17
712924383,Attrited Customer,55,M,3,Unknown,Single,$60K - $80K,36,8411,979,990,22
714983283,Attrited Customer,39,F,3,High School,Single,Less than $40K,36,3651,0,862,19
710406633,Attrited Customer,51,F,3,Uneducated,Married,Unknown,36,3664,0,1168,31
709991883,Attrited Customer,53,M,1,Graduate,Married,$80K - $120K,42,6214,1147,938,35
809951133,Attrited Customer,54,M,3,College,Single,$120K +,49,34516,0,2115,24
720141408,Attrited Customer,49,F,2,Graduate,Single,Less than $40K,31,5456,951,1096,27
768490458,Attrited Customer,49,M,2,Uneducated,Married,$80K - $120K,43,5701,2517,961,32
712196508,Attrited Customer,46,F,3,High School,Single,Unknown,34,29543,1164,1015,27
711159108,Attrited Customer,58,F,0,High School,Married,Less than $40K,36,7418,396,911,26
713206683,Attrited Customer,40,M,4,Graduate,Single,$80K - $120K,22,34516,0,1028,26
778388358,Attrited Customer,56,M,3,Graduate,Single,$60K - $80K,36,4742,855,870,24
779722308,Attrited Customer,45,F,3,High School,Married,$40K - $60K,30,12355,0,1044,28
713823033,Attrited Customer,31,F,2,Unknown,Married,Unknown,20,8149,0,808,30
787515333,Attrited Customer,40,M,3,Uneducated,Married,$80K - $120K,29,3616,1151,820,21
710819733,Attrited Customer,56,M,3,Graduate,Married,$120K +,36,12211,0,903,29
818375733,Attrited Customer,51,F,2,College,Married,$40K - $60K,46,4882,695,1544,44
709707033,Attrited Customer,45,M,3,Graduate,Single,$60K - $80K,32,13162,0,1424,38
721178583,Attrited Customer,37,F,3,Graduate,Unknown,Unknown,22,5674,0,1096,29
771544533,Attrited Customer,42,F,5,High School,Married,Unknown,30,3578,0,1015,36
708927108,Attrited Customer,53,M,2,Graduate,Married,$120K +,36,12778,507,1133,28
711772008,Attrited Customer,35,F,3,Graduate,Single,Less than $40K,22,1890,666,1483,36
708799983,Attrited Customer,40,M,1,Post-Graduate,Married,$60K - $80K,36,18386,890,1698,43
718418958,Attrited Customer,30,M,1,Post-Graduate,Divorced,Less than $40K,36,5061,0,1309,38
821179233,Attrited Customer,50,F,1,Post-Graduate,Single,$40K - $60K,46,1493,932,1554,43
813752433,Attrited Customer,43,F,3,Graduate,Single,Less than $40K,38,4075,1986,2449,27
708083283,Attrited Customer,58,M,0,Unknown,Single,$40K - $60K,45,3421,2517,992,21
806407308,Attrited Customer,54,F,3,College,Single,Unknown,49,13184,0,2047,33
758583708,Attrited Customer,37,F,3,Graduate,Single,Less than $40K,24,2802,2460,1406,28
721003008,Attrited Customer,36,F,4,Graduate,Married,Less than $40K,24,3261,2517,856,18
778708533,Attrited Customer,26,F,0,High School,Single,$40K - $60K,13,1730,1616,869,27
720122808,Attrited Customer,52,M,2,High School,Married,$60K - $80K,35,33180,511,797,14
713259858,Attrited Customer,26,M,0,High School,Single,$40K - $60K,15,3324,0,982,22
716053083,Attrited Customer,33,M,2,Graduate,Married,$120K +,21,27992,0,837,18
709537683,Attrited Customer,37,M,3,College,Married,$80K - $120K,30,11638,926,563,15
790145733,Attrited Customer,40,M,3,College,Single,$80K - $120K,33,34516,0,1112,26
711509658,Attrited Customer,61,M,2,Graduate,Married,$120K +,49,11374,2517,1088,26
719818983,Attrited Customer,39,M,1,College,Divorced,$80K - $120K,28,12464,0,1195,35
804668658,Attrited Customer,26,F,0,Uneducated,Single,Less than $40K,20,1438.3,0,947,20
720610008,Attrited Customer,59,M,1,College,Married,$120K +,50,15796,812,1339,23
771028533,Attrited Customer,48,F,3,Post-Graduate,Married,Less than $40K,35,10357,0,911,25
819610908,Attrited Customer,38,M,2,Uneducated,Single,$80K - $120K,33,32938,2089,1137,26
816013383,Attrited Customer,65,F,0,Graduate,Divorced,Less than $40K,56,6184,0,1712,27
808273533,Attrited Customer,39,M,2,High School,Single,$60K - $80K,34,1818,0,2054,55
785011383,Attrited Customer,36,F,0,Uneducated,Divorced,$40K - $60K,30,2190,0,1412,38
716382708,Attrited Customer,46,F,2,Graduate,Single,Less than $40K,36,8309,858,1165,35
711224733,Attrited Customer,32,M,0,High School,Married,$120K +,27,22382,0,695,10
791856033,Attrited Customer,45,M,2,College,Divorced,$80K - $120K,39,34516,0,1041,27
716448783,Attrited Customer,48,F,3,Graduate,Married,$40K - $60K,39,6235,0,1225,34
708892833,Attrited Customer,37,M,2,Graduate,Married,$120K +,30,13662,0,725,22
719318583,Attrited Customer,37,M,3,High School,Married,Less than $40K,26,6866,2389,862,13
720504633,Attrited Customer,46,M,2,Uneducated,Unknown,$60K - $80K,32,3254,0,967,24
711357858,Attrited Customer,47,F,3,Graduate,Single,Less than $40K,36,7246,0,777,13
711816108,Attrited Customer,40,M,3,High School,Single,$80K - $120K,29,18563,0,2395,45
713663508,Attrited Customer,58,M,0,High School,Unknown,$40K - $60K,42,1438.3,0,1088,22
789777408,Attrited Customer,26,F,0,Post-Graduate,Single,Less than $40K,15,1442,1428,1134,26
718577958,Attrited Customer,39,M,2,Uneducated,Married,$120K +,26,8906,0,809,15
717664008,Attrited Customer,37,M,3,College,Married,$60K - $80K,19,3100,2517,694,12
711562833,Attrited Customer,35,M,4,Graduate,Married,$80K - $120K,24,12634,0,717,18
720181758,Attrited Customer,37,M,0,Doctorate,Married,$120K +,22,8654,0,850,18
720427683,Attrited Customer,58,M,2,Uneducated,Single,$120K +,46,16163,0,2171,48
711692508,Attrited Customer,54,F,2,Post-Graduate,Married,Less than $40K,47,1438.3,0,1154,22
717930483,Attrited Customer,37,M,2,Graduate,Single,$120K +,25,5616,0,1564,31
715651833,Attrited Customer,65,M,1,Unknown,Single,Less than $40K,36,2351,0,1593,35
715517733,Attrited Customer,46,F,3,High School,Single,Less than $40K,39,13092,1962,936,25
778693458,Attrited Customer,32,M,1,High School,Divorced,$60K - $80K,13,12616,0,1376,29
712551258,Attrited Customer,39,M,1,Uneducated,Married,Less than $40K,36,4247,0,847,17
709564683,Attrited Customer,32,M,2,Graduate,Married,$40K - $60K,22,4739,0,886,21
772292358,Attrited Customer,30,M,1,College,Divorced,Less than $40K,19,7970,0,1284,30
713021208,Attrited Customer,55,F,2,College,Single,Unknown,36,34516,0,1353,40
713104458,Attrited Customer,46,M,2,Graduate,Single,$40K - $60K,31,7869,0,998,25
715366083,Attrited Customer,52,F,0,Doctorate,Single,Less than $40K,36,1438.3,978,947,33
716244033,Attrited Customer,44,M,3,Graduate,Married,$40K - $60K,33,7266,906,1741,27
787463508,Attrited Customer,26,M,0,Graduate,Single,Less than $40K,13,2469,2410,1027,20
778381608,Attrited Customer,48,M,4,Doctorate,Single,$80K - $120K,28,6572,417,1766,46
710586483,Attrited Customer,26,F,0,High School,Single,Unknown,13,6152,0,968,23
709164408,Attrited Customer,32,M,1,Uneducated,Married,Less than $40K,23,2218,1696,730,20
709785783,Attrited Customer,35,F,0,Graduate,Single,Less than $40K,25,2300,0,1485,34
720185058,Attrited Customer,46,M,3,Graduate,Married,$60K - $80K,36,4267,0,1067,23
717813558,Attrited Customer,57,F,3,High School,Single,Unknown,36,8389,1960,1334,38
719470458,Attrited Customer,46,M,3,College,Single,$80K - $120K,39,4026,243,1102,27
715319958,Attrited Customer,48,M,3,Uneducated,Married,$120K +,36,34516,787,1312,32
714412308,Attrited Customer,33,M,3,Graduate,Married,$80K - $120K,36,7140,0,916,18
721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,41,34516,2408,1187,40
798022683,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,37,25517,321,2508,44
716112933,Attrited Customer,39,F,3,Graduate,Married,Unknown,36,1575,592,644,15
789853533,Attrited Customer,54,M,3,High School,Married,$40K - $60K,44,3032,0,1037,14
806256333,Attrited Customer,41,M,4,Graduate,Unknown,$60K - $80K,36,1438.3,312,1786,26
719146008,Attrited Customer,48,M,3,Graduate,Married,$80K - $120K,39,18672,2517,1126,35
720693033,Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,36,8925,168,741,10
712784058,Attrited Customer,45,F,2,High School,Divorced,Unknown,36,17156,2517,1142,33
789963033,Attrited Customer,54,F,1,Graduate,Single,Less than $40K,45,1438.3,0,1603,39
827984658,Attrited Customer,49,M,3,Post-Graduate,Married,$80K - $120K,45,23870,0,1885,39
716331408,Attrited Customer,52,F,4,Unknown,Married,Less than $40K,36,2143,0,1353,36
710524533,Attrited Customer,38,F,4,College,Married,$40K - $60K,36,4913,2517,899,28
709413933,Attrited Customer,56,M,2,High School,Single,$40K - $60K,40,2381,651,1920,46
714967233,Attrited Customer,52,M,2,Doctorate,Married,$120K +,34,11188,0,2109,47
787460883,Attrited Customer,41,M,3,Uneducated,Married,$40K - $60K,28,11091,0,1234,34
709206333,Attrited Customer,44,F,4,Graduate,Single,$40K - $60K,30,4333,0,1558,40
821149008,Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,48,34516,0,1661,40
772273983,Attrited Customer,48,M,4,Uneducated,Single,$40K - $60K,37,5268,2191,2138,40
719902908,Attrited Customer,51,M,3,Unknown,Married,$80K - $120K,36,5130,0,1434,31
709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,32,34516,2517,1727,35
708139833,Attrited Customer,40,M,3,Graduate,Unknown,$60K - $80K,30,6391,0,2323,44
827476983,Attrited Customer,56,F,2,College,Single,Less than $40K,52,3639,2178,1865,42
708563433,Attrited Customer,65,F,0,High School,Single,Unknown,56,5894,477,1616,32
738627708,Attrited Customer,49,F,2,Unknown,Single,Unknown,41,5984,0,1838,42
771833433,Attrited Customer,49,M,2,High School,Married,$80K - $120K,38,29893,0,2063,48
828291858,Attrited Customer,38,M,3,College,Single,$60K - $80K,34,12050,1821,2381,40
720725058,Attrited Customer,51,F,1,Graduate,Single,Less than $40K,37,7176,0,1375,33
711935283,Attrited Customer,55,M,5,Post-Graduate,Single,$80K - $120K,47,1438.3,0,1427,36
716950758,Attrited Customer,46,M,4,High School,Married,$60K - $80K,36,8017,0,1657,43
715570533,Attrited Customer,48,M,3,Post-Graduate,Unknown,$120K +,35,34516,0,1632,44
721532583,Attrited Customer,45,M,4,Graduate,Married,$80K - $120K,36,12250,2165,1995,39
712623258,Attrited Customer,42,F,3,Graduate,Married,Less than $40K,36,5505,2517,2272,42
720508233,Attrited Customer,62,M,0,Unknown,Single,$40K - $60K,42,17161,0,1898,42
716387733,Attrited Customer,49,M,4,Graduate,Single,$60K - $80K,36,5662,1484,1693,25
788739633,Attrited Customer,38,M,1,Unknown,Married,$120K +,16,2106,238,2136,40
720758808,Attrited Customer,38,M,3,College,Single,$60K - $80K,18,16317,0,1995,54
715858008,Attrited Customer,49,F,1,Uneducated,Married,$40K - $60K,39,8061,2517,1224,31
813053733,Attrited Customer,53,M,4,Unknown,Single,$120K +,48,34516,278,3029,49
720529308,Attrited Customer,63,M,0,High School,Single,$60K - $80K,48,1856,0,1805,46
710658483,Attrited Customer,47,M,4,Graduate,Unknown,$40K - $60K,34,9080,2174,2098,46
710278458,Attrited Customer,52,M,2,High School,Single,$80K - $120K,43,11617,2517,1643,43
811035483,Attrited Customer,47,M,3,Uneducated,Divorced,$120K +,42,34516,0,1641,35
807593058,Attrited Customer,41,F,3,Unknown,Single,$40K - $60K,36,5317,0,2003,29
788030208,Attrited Customer,42,F,2,Uneducated,Single,Less than $40K,33,13453,2517,1904,42
720379533,Attrited Customer,47,M,3,Unknown,Unknown,$120K +,36,3952,0,2066,37
720983733,Attrited Customer,44,M,3,Unknown,Single,$60K - $80K,36,15422,864,2136,54
719099583,Attrited Customer,42,M,3,Graduate,Married,$40K - $60K,34,1640,1444,1360,33
710654808,Attrited Customer,46,M,4,Graduate,Single,$80K - $120K,36,1818,0,2308,44
711196458,Attrited Customer,38,F,1,Unknown,Married,Less than $40K,20,1621,580,1893,41
709224033,Attrited Customer,53,M,4,Uneducated,Single,$60K - $80K,43,13720,0,1830,36
804673308,Attrited Customer,49,M,5,Uneducated,Married,$40K - $60K,44,3893,0,1866,37
767784708,Attrited Customer,48,M,0,Doctorate,Married,$60K - $80K,41,7277,504,2356,40
716573058,Attrited Customer,54,F,3,Doctorate,Unknown,Less than $40K,36,1438.3,0,1598,40
716977758,Attrited Customer,44,F,3,Uneducated,Married,Less than $40K,36,3675,2517,1913,35
817889583,Attrited Customer,61,F,0,Graduate,Single,$40K - $60K,56,9721,0,2260,46
717242058,Attrited Customer,43,F,5,Graduate,Married,Less than $40K,39,3981,0,2134,42
716306583,Attrited Customer,64,M,0,Graduate,Single,Less than $40K,36,3812,2517,2325,45
721233033,Attrited Customer,50,M,2,High School,Single,$80K - $120K,38,4915,464,1474,36
779502333,Attrited Customer,50,M,4,Graduate,Single,$120K +,32,34516,0,1480,37
803124408,Attrited Customer,41,F,3,Unknown,Married,Unknown,35,11538,0,1926,53
789964983,Attrited Customer,45,M,2,Graduate,Divorced,$40K - $60K,36,9569,0,1724,35
709297608,Attrited Customer,38,M,3,College,Single,$80K - $120K,26,1438.3,0,1585,32
817977933,Attrited Customer,63,F,0,Graduate,Single,Less than $40K,56,1931,1531,2288,48
714629358,Attrited Customer,54,F,3,Graduate,Divorced,$40K - $60K,34,4948,0,1796,41
711538758,Attrited Customer,39,M,5,Graduate,Single,$60K - $80K,36,24657,633,1954,46
719987733,Attrited Customer,51,F,3,Unknown,Single,$40K - $60K,38,5026,0,1844,37
719657583,Attrited Customer,44,M,3,Graduate,Married,$40K - $60K,40,9502,2457,2310,57
789713208,Attrited Customer,62,F,0,Doctorate,Single,Less than $40K,50,2936,326,2692,29
715371108,Attrited Customer,45,M,3,Graduate,Married,$80K - $120K,40,3728,0,1632,42
796903083,Attrited Customer,47,F,1,Doctorate,Married,$40K - $60K,36,1438.3,0,2584,42
772137183,Attrited Customer,52,M,2,Graduate,Single,$120K +,41,31668,810,1822,36
821768658,Attrited Customer,52,M,0,Unknown,Single,$120K +,48,13114,2247,2474,51
812449758,Attrited Customer,43,M,3,High School,Single,$60K - $80K,38,12254,0,2129,42
815085708,Attrited Customer,60,F,0,High School,Single,$40K - $60K,55,10882,2517,1861,46
715485483,Attrited Customer,39,F,5,Graduate,Married,Less than $40K,36,3664,0,1479,44
794560833,Attrited Customer,47,F,3,Graduate,Married,$40K - $60K,31,5496,0,1913,34
718197108,Attrited Customer,54,M,2,Graduate,Single,$80K - $120K,36,12342,0,1430,37
710333883,Attrited Customer,48,M,3,Graduate,Married,$60K - $80K,37,8808,390,1905,42
789177333,Attrited Customer,47,F,2,Graduate,Married,Less than $40K,36,1693,1088,2104,40
711079308,Attrited Customer,40,M,3,Graduate,Married,$60K - $80K,27,15186,0,1884,33
708733983,Attrited Customer,50,F,1,Doctorate,Single,$40K - $60K,36,5349,2391,2122,46
711205758,Attrited Customer,45,M,3,College,Single,$80K - $120K,33,34516,0,2534,43
714659133,Attrited Customer,47,M,5,High School,Married,$80K - $120K,37,9410,0,2178,41
716425833,Attrited Customer,38,M,2,Graduate,Single,$120K +,36,34516,1229,1797,35
712164333,Attrited Customer,40,M,4,High School,Married,$60K - $80K,29,12544,1636,1758,51
826471458,Attrited Customer,42,M,3,Graduate,Married,Less than $40K,38,6967,1767,1919,38
815851233,Attrited Customer,52,M,3,High School,Single,$120K +,47,19032,0,1726,42
771776808,Attrited Customer,44,M,4,Uneducated,Married,$40K - $60K,33,1527,0,1877,38
789365508,Attrited Customer,49,M,2,High School,Divorced,$40K - $60K,39,14839,512,1453,26
716404383,Attrited Customer,47,F,2,Graduate,Married,Unknown,36,18799,2517,2315,52
711843708,Attrited Customer,61,F,0,Graduate,Divorced,Less than $40K,36,2125,0,2860,38
718877883,Attrited Customer,44,F,3,Unknown,Single,Less than $40K,36,5644,2517,2440,44
719604858,Attrited Customer,45,F,3,Unknown,Married,Less than $40K,31,5941,0,2196,37
714549558,Attrited Customer,41,F,2,Graduate,Married,$40K - $60K,32,9576,0,2362,49
822955008,Attrited Customer,63,M,1,Graduate,Single,$60K - $80K,56,9569,0,2287,49
711275433,Attrited Customer,47,M,4,Uneducated,Unknown,Unknown,36,18873,0,2021,38
827117808,Attrited Customer,45,M,1,Graduate,Single,$60K - $80K,41,9904,2513,1152,28
804462633,Attrited Customer,43,F,3,High School,Divorced,Less than $40K,38,7084,0,2287,44
709321908,Attrited Customer,47,M,3,High School,Single,$80K - $120K,29,7498,2319,1676,51
712597233,Attrited Customer,37,M,2,Uneducated,Unknown,$40K - $60K,36,3250,1721,1714,32
719816583,Attrited Customer,46,M,3,Doctorate,Married,$120K +,38,8989,552,2309,49
713004933,Attrited Customer,40,M,3,High School,Married,$60K - $80K,27,6813,2332,2634,51
772466508,Attrited Customer,45,M,3,Unknown,Single,$60K - $80K,35,18004,2517,2030,45
737921733,Attrited Customer,62,F,1,Unknown,Single,Less than $40K,55,1892,1604,1581,34
716575758,Attrited Customer,50,F,2,College,Unknown,Unknown,39,1438.3,0,1859,41
714097683,Attrited Customer,55,F,2,Graduate,Married,$40K - $60K,49,1809,0,2123,44
708121908,Attrited Customer,48,M,4,Unknown,Married,$80K - $120K,36,22917,0,2045,45
709435533,Attrited Customer,53,F,1,Unknown,Single,Less than $40K,41,3099,0,1401,44
